datetime,open,high,low,close,volume,open_interest
2024-01-01 00:00:00,30000.00,30008.25,29987.54,29994.24,234.12,0.0
2024-01-01 00:01:00,29994.24,30014.54,29960.75,29987.52,71.73,0.0
2024-01-01 00:02:00,29987.52,29994.08,29964.08,29979.24,56.63,0.0
2024-01-01 00:03:00,29979.24,29990.44,29959.75,29984.48,186.24,0.0
2024-01-01 00:04:00,29984.48,30019.41,29984.28,29995.13,251.45,0.0
2024-01-01 00:05:00,29995.13,30069.51,29984.92,30048.57,88.87,0.0
2024-01-01 00:06:00,30048.57,30087.48,30045.67,30084.70,261.87,0.0
2024-01-01 00:07:00,30084.70,30102.81,30052.26,30076.47,232.43,0.0
2024-01-01 00:08:00,30076.47,30087.82,29956.70,29973.26,257.35,0.0
2024-01-01 00:09:00,29973.26,29991.82,29924.92,29950.77,194.34,0.0
2024-01-01 00:10:00,29950.77,29957.61,29940.62,29949.30,69.95,0.0
2024-01-01 00:11:00,29949.30,29956.28,29936.69,29939.72,119.49,0.0
2024-01-01 00:12:00,29939.72,29950.82,29910.72,29917.00,116.74,0.0
2024-01-01 00:13:00,29917.00,29945.10,29871.42,29890.86,202.28,0.0
2024-01-01 00:14:00,29890.86,29929.24,29879.48,29924.34,297.38,0.0
2024-01-01 00:15:00,29924.34,30003.35,29907.63,29984.15,221.15,0.0
2024-01-01 00:16:00,29984.15,30032.25,29983.18,30025.38,128.86,0.0
2024-01-01 00:17:00,30025.38,30033.41,29964.60,29970.93,285.73,0.0
2024-01-01 00:18:00,29970.93,30018.87,29959.06,29999.21,278.64,0.0
2024-01-01 00:19:00,29999.21,30012.97,29970.54,29978.49,111.66,0.0
2024-01-01 00:20:00,29978.49,29996.03,29926.45,29953.39,149.85,0.0
2024-01-01 00:21:00,29953.39,29959.97,29915.72,29945.65,177.38,0.0
2024-01-01 00:22:00,29945.65,29963.58,29926.83,29960.29,248.02,0.0
2024-01-01 00:23:00,29960.29,29984.02,29958.38,29971.36,145.40,0.0
2024-01-01 00:24:00,29971.36,30054.08,29945.53,30024.95,52.87,0.0
2024-01-01 00:25:00,30024.95,30050.06,30004.50,30028.43,184.24,0.0
2024-01-01 00:26:00,30028.43,30031.78,30014.19,30027.24,163.43,0.0
2024-01-01 00:27:00,30027.24,30117.78,30000.96,30089.17,115.85,0.0
2024-01-01 00:28:00,30089.17,30116.55,30043.11,30069.23,124.61,0.0
2024-01-01 00:29:00,30069.23,30093.61,30050.96,30074.44,88.21,0.0
2024-01-01 00:30:00,30074.44,30107.16,30058.53,30083.80,50.14,0.0
2024-01-01 00:31:00,30083.80,30093.53,30039.16,30039.75,282.27,0.0
2024-01-01 00:32:00,30039.75,30109.34,30038.01,30100.11,269.50,0.0
2024-01-01 00:33:00,30100.11,30128.52,30051.29,30053.86,171.50,0.0
2024-01-01 00:34:00,30053.86,30144.19,30050.01,30121.21,168.82,0.0
2024-01-01 00:35:00,30121.21,30172.34,30113.26,30155.85,268.11,0.0
2024-01-01 00:36:00,30155.85,30172.03,30115.78,30137.67,100.29,0.0
2024-01-01 00:37:00,30137.67,30166.23,30107.82,30156.88,212.47,0.0
2024-01-01 00:38:00,30156.88,30160.51,30111.96,30118.70,134.52,0.0
2024-01-01 00:39:00,30118.70,30161.28,30111.79,30143.63,105.05,0.0
2024-01-01 00:40:00,30143.63,30208.20,30116.47,30201.33,264.91,0.0
2024-01-01 00:41:00,30201.33,30234.66,30194.19,30232.54,217.24,0.0
2024-01-01 00:42:00,30232.54,30272.29,30215.40,30244.22,168.17,0.0
2024-01-01 00:43:00,30244.22,30295.57,30220.00,30272.04,97.60,0.0
2024-01-01 00:44:00,30272.04,30326.72,30258.02,30314.01,232.27,0.0
2024-01-01 00:45:00,30314.01,30365.73,30284.48,30345.53,74.60,0.0
2024-01-01 00:46:00,30345.53,30371.38,30315.56,30323.02,97.55,0.0
2024-01-01 00:47:00,30323.02,30364.78,30310.36,30351.32,119.64,0.0
2024-01-01 00:48:00,30351.32,30372.18,30325.48,30358.89,187.58,0.0
2024-01-01 00:49:00,30358.89,30458.57,30328.91,30457.05,259.01,0.0
2024-01-01 00:50:00,30457.05,30579.74,30452.06,30554.28,171.41,0.0
2024-01-01 00:51:00,30554.28,30560.69,30532.22,30544.25,64.66,0.0
2024-01-01 00:52:00,30544.25,30552.20,30444.23,30467.76,163.75,0.0
2024-01-01 00:53:00,30467.76,30568.30,30439.04,30555.61,298.86,0.0
2024-01-01 00:54:00,30555.61,30560.26,30494.71,30503.61,292.18,0.0
2024-01-01 00:55:00,30503.61,30520.98,30473.33,30489.60,236.99,0.0
2024-01-01 00:56:00,30489.60,30562.17,30464.01,30547.09,89.36,0.0
2024-01-01 00:57:00,30547.09,30602.45,30544.68,30573.63,96.46,0.0
2024-01-01 00:58:00,30573.63,30580.69,30528.37,30531.96,272.57,0.0
2024-01-01 00:59:00,30531.96,30539.35,30488.36,30506.20,204.85,0.0
2024-01-01 01:00:00,30506.20,30521.88,30439.86,30467.90,101.06,0.0
2024-01-01 01:01:00,30467.90,30523.11,30460.74,30501.63,148.95,0.0
2024-01-01 01:02:00,30501.63,30511.11,30471.11,30493.66,68.14,0.0
2024-01-01 01:03:00,30493.66,30507.41,30441.93,30471.89,299.02,0.0
2024-01-01 01:04:00,30471.89,30512.65,30443.89,30504.70,270.22,0.0
2024-01-01 01:05:00,30504.70,30551.37,30493.61,30524.99,89.44,0.0
2024-01-01 01:06:00,30524.99,30582.64,30495.37,30564.29,213.49,0.0
2024-01-01 01:07:00,30564.29,30564.53,30493.80,30518.31,124.84,0.0
2024-01-01 01:08:00,30518.31,30522.34,30473.81,30477.27,76.76,0.0
2024-01-01 01:09:00,30477.27,30493.87,30396.09,30404.26,201.21,0.0
2024-01-01 01:10:00,30404.26,30425.70,30396.34,30406.67,172.13,0.0
2024-01-01 01:11:00,30406.67,30433.83,30362.69,30388.08,73.07,0.0
2024-01-01 01:12:00,30388.08,30388.18,30344.18,30367.31,209.28,0.0
2024-01-01 01:13:00,30367.31,30397.79,30345.08,30389.93,187.92,0.0
2024-01-01 01:14:00,30389.93,30394.86,30363.43,30392.61,275.98,0.0
2024-01-01 01:15:00,30392.61,30419.05,30367.57,30402.69,195.63,0.0
2024-01-01 01:16:00,30402.69,30431.98,30375.72,30422.74,249.03,0.0
2024-01-01 01:17:00,30422.74,30472.81,30395.77,30446.99,102.52,0.0
2024-01-01 01:18:00,30446.99,30477.88,30420.46,30454.48,151.59,0.0
2024-01-01 01:19:00,30454.48,30499.08,30449.84,30480.46,282.47,0.0
2024-01-01 01:20:00,30480.46,30584.19,30454.02,30559.86,56.20,0.0
2024-01-01 01:21:00,30559.86,30581.96,30474.86,30484.83,282.70,0.0
2024-01-01 01:22:00,30484.83,30542.01,30476.83,30517.69,246.84,0.0
2024-01-01 01:23:00,30517.69,30520.93,30422.88,30449.05,264.65,0.0
2024-01-01 01:24:00,30449.05,30482.46,30439.89,30468.65,248.84,0.0
2024-01-01 01:25:00,30468.65,30554.85,30467.94,30548.02,98.28,0.0
2024-01-01 01:26:00,30548.02,30577.02,30508.59,30516.96,210.37,0.0
