datetime,symbol,exchange,last_price,last_volume,bid_price_1,bid_volume_1,ask_price_1,ask_volume_1,open_interest,volume
2024-01-01 00:00:00.500,BTCUSDT,BINANCE_USDT,29998.87,0.9419,29998.12,2.772,29999.62,0.931,0.0,156.33
2024-01-01 00:00:01.000,BTCUSDT,BINANCE_USDT,30000.48,0.6542,29999.73,4.678,30001.23,4.197,0.0,182.09
2024-01-01 00:00:01.500,BTCUSDT,BINANCE_USDT,29999.84,0.9433,29999.84,2.997,30001.34,0.668,0.0,100.75
2024-01-01 00:00:02.000,BTCUSDT,BINANCE_USDT,29997.91,1.3897,29997.91,1.450,29999.41,1.382,0.0,128.79
2024-01-01 00:00:02.500,BTCUSDT,BINANCE_USDT,29999.95,0.5540,29999.20,2.292,30000.70,2.818,0.0,101.82
2024-01-01 00:00:03.000,BTCUSDT,BINANCE_USDT,30000.86,0.9852,29999.36,2.929,30000.86,3.147,0.0,178.30
2024-01-01 00:00:03.500,BTCUSDT,BINANCE_USDT,29999.71,0.6077,29998.96,2.299,30000.46,2.012,0.0,106.61
2024-01-01 00:00:04.000,BTCUSDT,BINANCE_USDT,29999.82,0.2982,29999.07,2.905,30000.57,2.233,0.0,150.67
2024-01-01 00:00:04.500,BTCUSDT,BINANCE_USDT,30000.16,1.6896,30000.16,2.039,30001.66,0.727,0.0,168.54
2024-01-01 00:00:05.000,BTCUSDT,BINANCE_USDT,30003.31,1.3175,30001.81,0.850,30003.31,4.526,0.0,108.07
2024-01-01 00:00:05.500,BTCUSDT,BINANCE_USDT,30002.14,0.8844,30002.14,4.788,30003.64,0.728,0.0,150.58
2024-01-01 00:00:06.000,BTCUSDT,BINANCE_USDT,30002.22,1.3952,30002.22,1.227,30003.72,0.999,0.0,179.84
2024-01-01 00:00:06.500,BTCUSDT,BINANCE_USDT,30004.42,0.3882,30002.92,2.158,30004.42,1.927,0.0,171.09
